region_id,make_model,number_deployed,equipment_type
2523,OpenElect OVI (Unisyn),29,Ballot Marking Device
2523,OpenElect Voting Central Scan/OVCS (Unisyn),1,Scanner
2523,OpenElect Voting Optical Scan/OVO (Unisyn),37,Scanner
2524,ImageCast X/ICX BMD (Dominion),12,Ballot Marking Device
2524,ImageCast Precinct/ICP (Dominion),15,Scanner
2525,OpenElect FVT (Unisyn),10,Ballot Marking Device
2525,OpenElect Freedom Vote Scan (Unisyn),9,Scanner
2526,OpenElect OVI (Unisyn),8,Ballot Marking Device
2526,OpenElect Voting Optical Scan/OVO (Unisyn),9,Scanner
2527,OpenElect FVT (Unisyn),7,Ballot Marking Device
2527,OpenElect Freedom Vote Scan (Unisyn),8,Scanner
2528,OpenElect OVI (Unisyn),15,Ballot Marking Device
2528,OpenElect Voting Optical Scan/OVO (Unisyn),16,Scanner
2529,OpenElect OVI (Unisyn),9,Ballot Marking Device
2529,OpenElect Voting Optical Scan/OVO (Unisyn),9,Scanner
2530,OpenElect OVI (Unisyn),13,Ballot Marking Device
2530,OpenElect Voting Optical Scan/OVO (Unisyn),13,Scanner
2531,OpenElect FVT (Unisyn),6,Ballot Marking Device
2531,OpenElect Freedom Vote Scan (Unisyn),8,Scanner
2532,OpenElect FVT (Unisyn),130,Ballot Marking Device
2532,OpenElect Voting Optical Scan/OVO (Unisyn),136,Scanner
2533,ExpressVote (ES&S),9,Ballot Marking Device
2533,DS450 (ES&S),1,Scanner
2534,OpenElect FVT (Unisyn),12,Ballot Marking Device
2534,OpenElect Freedom Vote Scan (Unisyn),13,Scanner
2535,OpenElect OVI (Unisyn),22,Ballot Marking Device
2535,OpenElect Voting Optical Scan/OVO (Unisyn),24,Scanner
2536,Verity Touch Writer (Hart),230,Ballot Marking Device
2536,Verity Scan (Hart),488,Scanner
2537,ImageCast X/ICX BMD (Dominion),1,Ballot Marking Device
2537,ImageCast Precinct/ICP (Dominion),14,Scanner
2538,OpenElect OVI (Unisyn),4,Ballot Marking Device
2538,OpenElect Voting Optical Scan/OVO (Unisyn),5,Scanner
2539,OpenElect OVI (Unisyn),1,Ballot Marking Device
2539,OpenElect Voting Optical Scan/OVO (Unisyn),2,Scanner
2540,OpenElect OVI (Unisyn),20,Ballot Marking Device
2540,OpenElect Voting Optical Scan/OVO (Unisyn),23,Scanner
2541,OpenElect FVT (Unisyn),7,Ballot Marking Device
2541,OpenElect Freedom Vote Scan (Unisyn),7,Scanner
2542,OpenElect FVT (Unisyn),6,Ballot Marking Device
2542,OpenElect Freedom Vote Scan (Unisyn),7,Scanner
2543,OpenElect OVI (Unisyn),9,Ballot Marking Device
2543,OpenElect Freedom Vote Scan (Unisyn),10,Scanner
2544,OpenElect FVT (Unisyn),19,Ballot Marking Device
2544,OpenElect Freedom Vote Scan (Unisyn),20,Scanner
2545,ExpressVote (ES&S),4,Ballot Marking Device
2545,DS450 (ES&S),1,Scanner
2546,OpenElect OVI (Unisyn),22,Ballot Marking Device
2546,OpenElect Voting Optical Scan/OVO (Unisyn),22,Scanner
2547,OpenElect OVI (Unisyn),10,Ballot Marking Device
2547,OpenElect Voting Optical Scan/OVO (Unisyn),10,Scanner
2548,ExpressVote (ES&S),13,Ballot Marking Device
2548,DS200 (ES&S),14,Scanner
2549,ImageCast X/ICX BMD (Dominion),13,Ballot Marking Device
2549,ImageCast Precinct/ICP (Dominion),26,Scanner
2550,OpenElect FVT (Unisyn),13,Ballot Marking Device
2550,OpenElect Freedom Vote Scan (Unisyn),14,Scanner
2551,OpenElect FVT (Unisyn),10,Ballot Marking Device
2551,OpenElect Freedom Vote Scan (Unisyn),10,Scanner
2552,OpenElect FVT (Unisyn),16,Ballot Marking Device
2552,OpenElect Freedom Vote Scan (Unisyn),17,Scanner
