region_id,make_model,number_deployed,equipment_type
2738,"Other: ACCUVOTE/A,B,C,D-1.96.13, DOMINION",1,Scanner
2740,"Other: ACCUVOTE/A,B,C,D-1.96.13, DOMINION",1,Scanner
2743,Other: VOTINGWORKS VXSUITE 3.1.2,1,Scanner
2749,Other: VOTINGWORKS VXSUITE 3.1.2,1,Scanner
2750,"Other: ACCUVOTE/A,B,C,D-1.96.13, DOMINION",1,Scanner
2751,Other: VOTINGWORKS VXSUITE 3.1.2,1,Scanner
2752,"Other: ACCUVOTE/A,B,C,D-1.96.13, DOMINION",1,Scanner
2754,"Other: ACCUVOTE/A,B,C,D-1.96.13, DOMINION",1,Scanner
2756,"Other: ACCUVOTE/A,B,C,D-1.96.13, DOMINION",1,Scanner
2757,"Other: ACCUVOTE/A,B,C,D-1.96.13, DOMINION",2,Scanner
2761,"Other: ACCUVOTE/A,B,C,D-1.96.13, DOMINION",2,Scanner
2764,Other: VOTINGWORKS VXSUITE 3.1.2,1,Scanner
2765,"Other: ACCUVOTE/A,B,C,D-1.96.13, DOMINION",1,Scanner
