region_id,total_registered_voters,Moved,Death,Felony,Fail Response,Incompetent to Vote,Voter Request,Duplicate Records
1731,855,60,22,0,0,0,0,3
1732,1948,132,38,0,0,0,1,4
1733,717,41,13,0,0,0,0,2
1734,3413,305,48,0,0,0,2,39
1735,0,0,0,0,0,0,0,0
1736,1010,66,43,0,0,0,0,0
1737,508,35,12,0,0,0,0,2
1738,1037,71,35,0,0,0,0,0
1739,176,12,6,0,0,0,0,2
1740,365,36,3,0,0,0,0,2
1741,100,6,2,0,0,0,0,0
1742,2441,220,57,0,0,0,0,2
1743,284,23,13,0,0,0,0,2
1744,1074,55,1,0,0,0,0,1
1745,366,21,2,0,0,0,0,0
1746,489,56,33,0,0,0,0,11
1747,155,13,9,0,0,0,0,0
1748,106,5,6,0,0,0,0,0
1749,480,32,7,0,0,0,0,0
1750,685,37,39,0,0,0,0,5
1751,58,5,2,0,0,0,0,0
1752,474,31,12,0,0,0,0,2
1753,1142,106,32,0,0,0,0,12
1754,1297,67,43,0,0,0,2,2
1755,156,10,1,0,0,0,0,0
1756,815,43,26,0,0,0,0,5
1757,435,57,13,0,0,0,0,2
1758,1042,64,34,0,0,0,0,4
1759,1351,60,46,0,0,0,0,1
1760,1800,138,63,0,0,0,1,5
1761,884,70,17,0,0,0,0,5
1762,437,45,7,0,0,0,0,1
1763,122,11,5,0,0,0,0,0
1764,1197,60,36,0,0,0,2,4
1765,161,19,4,0,0,0,0,1
1766,457,29,13,0,0,0,0,1
1767,652,50,18,0,0,0,0,1
1768,660,49,16,0,0,0,0,2
1769,658,62,29,0,0,0,0,5
1770,538,35,8,0,0,0,0,1
1771,280,15,11,0,0,0,0,6
1772,1013,53,28,0,0,0,0,4
1773,53,4,1,0,0,0,0,0
1774,171,8,3,0,0,0,0,0
1775,129,6,6,0,0,0,0,1
1776,64,1,8,0,0,0,0,0
1777,129,3,8,0,0,0,0,1
1778,493,32,7,0,0,0,0,2
1779,195,10,6,0,0,0,0,0
1780,2443,193,42,0,0,0,1,4
1781,2809,242,72,0,0,0,3,1
1782,4008,324,76,0,0,0,5,12
1783,7423,380,59,0,0,0,3,11
1784,18006,1832,345,0,0,0,2,29
1785,7239,637,132,0,0,0,0,4
1786,1390,88,29,0,0,0,0,2
1787,1927,124,26,0,0,0,0,6
1788,7105,331,76,0,0,0,0,7
1789,4091,338,53,0,0,0,0,5
1790,11505,715,257,0,0,0,21,11
1791,3577,241,66,0,0,0,1,7
1792,10203,489,168,0,0,0,2,11
1793,5798,302,77,0,0,0,3,14
1794,2907,236,35,0,0,0,2,5
1795,2890,372,50,0,0,0,1,4
1796,4203,284,63,0,0,0,4,14
1797,1461,80,22,0,0,0,0,3
1798,4620,281,84,0,0,0,1,15
1799,1487,109,43,0,0,0,9,9
1800,7215,883,131,0,0,0,2,14
1801,1623,96,33,0,0,0,1,3
1802,18237,1691,410,0,0,0,6,73
1803,17132,1230,415,0,0,0,1,19
1804,2533,194,44,0,0,0,0,0
1805,6888,396,72,0,0,0,0,15
1806,6623,491,89,0,0,0,0,5
1807,11574,588,208,0,0,0,3,14
1808,13764,557,237,0,0,0,14,27
1809,448,21,4,0,0,0,0,1
1810,408,29,8,0,0,0,0,2
1811,0,0,0,0,0,0,0,0
1812,498,18,10,0,0,0,0,0
1813,324,19,13,0,0,0,0,0
1814,47655,363,1435,7,1252,0,40,0
1815,451903,4343,8142,164,12146,1,403,9
1816,610028,4360,13527,447,15352,4,561,191
1817,76072,743,1471,2,1958,0,63,0
1818,23616,144,565,3,418,0,18,0
1819,137183,1617,2871,11,3039,0,179,1
1820,78120,993,1811,6,2977,1,106,4
1821,135853,1196,2296,29,3846,0,123,7
1822,24992,169,693,15,369,0,34,0
1823,221122,2280,3472,19,5281,0,177,11
1824,22189,163,579,2,497,1,26,0
1825,208581,1904,3883,24,5107,2,91,13
1826,252105,2961,3367,42,5585,2,256,27
1827,14988,166,437,0,382,2,15,1
1828,765356,11825,11031,260,31181,0,1048,17
1829,653940,4778,11807,414,12477,5,415,46
1830,41922,405,889,6,936,0,30,1
1831,85258,1127,1468,54,3283,2,98,2
1832,14897,170,459,5,206,1,10,2
1833,30549,328,885,16,562,0,45,2
1834,113595,1072,2582,59,3919,1,72,0
1835,71696,595,1768,14,1778,0,50,0
1836,46520,440,1239,6,1167,1,50,25
1837,427077,2727,11455,469,9594,5,542,71
1838,37611,3233,973,1,347,0,34,267
1839,16311,1131,447,0,652,0,91,195
1840,9018,501,263,0,159,0,176,61
1841,6230,524,255,0,97,0,103,53
1842,13414,1215,420,0,134,0,31,158
1843,4972,355,158,0,59,0,8,9
1844,28849,1970,807,0,211,0,45,95
1845,12117,893,357,0,0,0,26,21
1846,13297,1538,339,1,2,0,23,99
1847,5870,453,186,0,28,0,15,74
1848,3470,403,73,0,100,0,6,50
1849,17581,1383,369,0,242,0,25,120
1850,2308,218,56,0,0,0,4,24
1851,3197,222,80,0,33,0,13,14
1852,22558,1878,753,2,2,0,29,197
1853,6814,466,199,0,168,0,8,36
1854,403,37,7,1,3,0,2,5
1855,1682,343,38,0,0,0,4,106
1856,2644,228,61,1,2,0,6,17
1857,1365,91,40,0,2,0,1,3
1858,5150,380,150,0,1,0,10,59
1859,1151,97,19,1,0,0,8,4
1860,545,52,13,0,1,0,6,2
1861,5238,317,124,9,300,0,30,58
1862,601,34,14,0,5,0,1,1
1863,1613,123,40,0,0,0,5,6
1864,2590,213,64,0,13,0,2,19
1865,4839,387,130,0,0,0,2,37
1866,3988,408,169,5,45,0,17,26
1867,837,58,10,0,1,0,0,6
1868,140,16,1,0,0,0,3,23
1869,194,26,2,0,2,0,10,6
1870,1257,62,31,0,52,0,7,4
1871,9952,762,267,0,444,0,10,90
1872,1363,125,29,0,3,0,5,5
1873,685,43,18,0,7,0,3,1
1874,32846,1454,866,0,920,0,61,278
1875,1342,100,31,0,0,0,0,11
1876,702,53,21,0,0,0,3,7
1877,579,46,7,0,0,0,0,4
1878,2693,156,65,1,31,0,87,16
1879,1747,157,25,0,5,0,2,18
1880,375,20,16,0,0,0,4,6
1881,430,33,15,0,0,0,0,1
1882,1168,127,28,1,38,0,1,7
