state_id,data_quality_score
1,0.51
4,0.74
5,0.80
6,0.86
8,0.83
9,0.48
10,0.68
11,0.65
12,0.84
13,0.67
16,0.62
17,0.82
18,0.82
19,0.74
20,0.91
21,0.92
22,0.76
23,0.52
24,0.79
25,0.86
26,0.74
27,0.71
28,0.57
29,0.60
30,0.75
31,0.88
32,0.78
33,0.77
34,0.79
35,0.78
36,0.77
37,0.84
38,0.40
39,0.86
40,0.85
41,0.54
42,0.82
44,0.83
45,0.65
46,0.81
47,0.92
48,0.92
49,0.73
50,0.52
51,0.87
53,0.81
54,0.86
55,0.64
56,0.68
