region_id,region_name,democrat_votes_2024,republican_votes_2024,total_ballots,mail_in_ballots,total_presidential_votes_2024,percent_republican,percent_mail_in_ballot
808,Putnam County,2014,1254,3389,433,3268,38.37,12.78
809,Randolph County,10624,3461,14476,3739,14085,24.57,25.83
810,Richland County,5889,1747,7604,1,7636,22.88,0.01
811,Rock Island County,28061,34126,64046,17264,62187,54.88,26.96
812,St. Clair County,53677,57226,114629,21146,110903,51.6,18.45
813,Saline County,7830,2634,10714,1165,10464,25.17,10.87
814,Sangamon County,50979,46074,100675,22171,97053,47.47,22.02
815,Schuyler County,2720,961,3794,497,3681,26.11,13.1
816,Scott County,2071,488,2603,203,2559,19.07,7.8
817,Shelby County,9267,2240,11775,1196,11507,19.47,10.16
818,Stark County,1983,725,2782,329,2708,26.77,11.83
819,Stephenson County,12347,8278,21227,3241,20625,40.14,15.27
820,Tazewell County,42451,24325,68117,11361,66776,36.43,16.68
821,Union County,5837,2285,8333,0,8122,28.13,0.0
822,Vermilion County,15493,4827,20819,2099,20320,23.75,10.08
823,Wabash County,4095,1200,5423,547,5295,22.66,10.09
824,Danville City,4284,4427,9000,1344,8711,50.82,14.93
825,Warren County,4579,2711,7517,1072,7290,37.19,14.26
826,Washington County,5892,1564,7667,745,7456,20.98,9.72
827,Wayne County,7019,1155,8316,747,8174,14.13,8.98
828,White County,5586,1390,7099,640,6976,19.93,9.02
829,Whiteside County,14898,11012,26724,3912,25910,42.5,14.64
830,Will County,157672,162874,331367,50118,320546,50.81,15.12
831,Williamson County,22686,9890,33346,3953,32576,30.36,11.85
832,Winnebago County,39514,28941,70393,11655,68455,42.28,16.56
833,Woodford County,14837,5958,21435,2228,20795,28.65,10.39
834,East St. Louis City,344,6207,6717,2464,6551,94.75,36.68
835,Galesburg City,5064,6273,11731,2454,11337,55.33,20.92
836,Rockford City,19743,31001,52363,10059,50744,61.09,19.21
929,Adair,1086,2916,4104,467,4104,71.05,11.38
930,Adams,576,1517,2153,249,2153,70.46,11.57
931,Allamakee,2350,4857,7410,922,7410,65.55,12.44
932,Appanoose,1686,4704,6535,845,6535,71.98,12.93
933,Audubon,970,2214,3286,402,3286,67.38,12.23
934,Benton,4739,9549,14593,1497,14593,65.44,10.26
935,Black Hawk,31299,30572,63279,9844,63279,48.31,15.56
936,Boone,5895,9199,15520,1908,15520,59.27,12.29
937,Bremer,5571,8799,14673,1620,14673,59.97,11.04
